Total Rows Processed: 317
Total Unmapped SKUs: 313
Invalid Combos: 0
Missing Parts in Combos: 0
---- Detailed Logs ----
Unmapped SKU: CSTE_0545_ST_Animal_Breathing_Dog_B_2
Unmapped SKU: Breathing_Lilo_Stich_Blue
Unmapped SKU: Storage_Box_white_2
Unmapped SKU: Storage_Box_white_4
Unmapped SKU: CSTE_O0446_OT_Glue_Sand_Rubber_Pig
Unmapped SKU: CSTE_0541_ST_Animal_Breathing_Fox
Unmapped SKU: CSTE_O0442_OT_Squeeze_White
Unmapped SKU: CSTE_O0443_OT_Squeeze_Yellow
Unmapped SKU: CSTE_O0443_OT_Squeeze_Yellow
Unmapped SKU: CSTE_O0444_OT_Squeeze_Purple
Unmapped SKU: CSTE_0226_SG_Square/Big_Black
Unmapped SKU: Breathing_Otter_Blue
Unmapped SKU: Breathing_Otter_Blue
Unmapped SKU: CSTE_0536_ST_Animal_Breathing_lamb_White
Unmapped SKU: CSTE_0502_ST_Minecraft_Pickaxe_Foam
Unmapped SKU: CSTE_0502_ST_Minecraft_Pickaxe_Foam
Unmapped SKU: CSTE_0491_ST_Fruit_Blox_Spirit
Unmapped SKU: CSTE_0490_ST_Fruit_Blox_Shadow
Unmapped SKU: Hermoine_light_SG
Unmapped SKU: CSTE_0488_ST_Anim_Breathing_Stitch_Blue
Unmapped SKU: CSTE_0488_ST_Anim_Breathing_Stitch_Blue
Unmapped SKU: minecraft_Sward_Small
Unmapped SKU: minecraft_Sward_Small
Unmapped SKU: minecraft_Sward_Small
Unmapped SKU: minecraft_Sward_Small
Unmapped SKU: minecraft_Sward_Small
Unmapped SKU: minecraft_Sward_Small
Unmapped SKU: minecraft_Sward_Small
Unmapped SKU: minecraft_Sward_Big
Unmapped SKU: minecraft_Sward_Big
Unmapped SKU: minecraft_Sward_Big
Unmapped SKU: minecraft_Sward_Big
Unmapped SKU: hello kitty
Unmapped SKU: Minecraft_Steve
Unmapped SKU: Minecraft_Ghast
Unmapped SKU: Minecraft_creeper
Unmapped SKU: CSTE_0353_Wands_DumbleD_light_MB
Unmapped SKU: CSTE_0330_Wands_Harrypotter_Light
Unmapped SKU: CSTE_0332_Wands_Lord Voldmort_Light
Unmapped SKU: CSTE_0332_Wands_Lord Voldmort_Light
Unmapped SKU: CSTE_0333_Wands_Dumbledore_Light
Unmapped SKU: CSTE_0333_Wands_Dumbledore_Light
Unmapped SKU: CSTE_0333_Wands_Dumbledore_Light
Unmapped SKU: CSTE_0355_Wands_HP_light_Sg
Unmapped SKU: CSTE_0355_Wands_HP_light_Sg
Unmapped SKU: CSTE_0358_Wands_Dumbledore_light_Sg
Unmapped SKU: You are my sunshine
Unmapped SKU: Black Harry potter
Unmapped SKU: Black Harry potter
Unmapped SKU: CSTE_0293_OT_Voldemort_wand
Unmapped SKU: CSTE_0291_OT_Hermoine_wand
Unmapped SKU: CSTE_0291_OT_Hermoine_wand
Unmapped SKU: CSTE_0291_OT_Hermoine_wand
Unmapped SKU: CSTE_0295_OT_Snape_wand
Unmapped SKU: CSTE_0343_Wands_Lord Voldmort_Sunglasas
Unmapped SKU: FUSKED-TLSG
Unmapped SKU: FUSKED-TLSG
Unmapped SKU: MB_Titanic_Brown_fba
Unmapped SKU: ST-Chimmy bts-yellow
Unmapped SKU: Breathing_Grey_Otter
Unmapped SKU: Breathing_Messenger_Cat_Pink
Unmapped SKU: Breathing_Lilo_Stich_Blue
Unmapped SKU: CSTE_O0446_OT_Glue_Sand_Rubber_Pig
Unmapped SKU: CSTE_0541_ST_Animal_Breathing_Fox
Unmapped SKU: CSTE_O0444_OT_Squeeze_Purple
Unmapped SKU: Lama_Ghast_Combo
Unmapped SKU: Lama_Creeper_Combo
Unmapped SKU: Breathing_Otter_Blue
Unmapped SKU: Breathing_Otter_Pink_1
Unmapped SKU: Compression_Sky_Blue
Unmapped SKU: Breathing_Otter_D_Brown
Unmapped SKU: Breathing_Otter_D_Brown
Unmapped SKU: Breathing_Otter_D_Brown
Unmapped SKU: Breathing_Otter_D_Brown
Unmapped SKU: Minecraft_Small_Sword_Steve
Unmapped SKU: CSTE_0502_ST_Minecraft_Pickaxe_Foam
Unmapped SKU: CSTE_0502_ST_Minecraft_Pickaxe_Foam
Unmapped SKU: CSTE_0502_ST_Minecraft_Pickaxe_Foam
Unmapped SKU: CSTE_0491_ST_Fruit_Blox_Spirit
Unmapped SKU: CSTE_0491_ST_Fruit_Blox_Spirit
Unmapped SKU: CSTE_0490_ST_Fruit_Blox_Shadow
Unmapped SKU: CSTE_0490_ST_Fruit_Blox_Shadow
Unmapped SKU: CSTE_0490_ST_Fruit_Blox_Shadow
Unmapped SKU: CSTE_0490_ST_Fruit_Blox_Shadow
Unmapped SKU: CSTE_0490_ST_Fruit_Blox_Shadow
Unmapped SKU: CSTE_0480_ST_Minecraft_TNT_Block
Unmapped SKU: CSTE_0485_ST_Animal_Kawaii_Penguin
Unmapped SKU: CSTE_0477_ST_Minecraft_Spider_Blue
Unmapped SKU: CSTE_0478_ST_Minecraft_Cow_Brown
Unmapped SKU: CSTE_0488_ST_Anim_Breathing_Stitch_Blue
Unmapped SKU: CSTE_0488_ST_Anim_Breathing_Stitch_Blue
